Borough,Year,FIPS County Code,NTA Code,Neighborhood,Population,
Manhattan,2010,61,MN06,Manhattan Valley,"22,950",
Manhattan,2010,61,MN09,Morningside Heights,"55,929",
Manhattan,2010,61,MN11,Central Harlem,"43,383",
Manhattan,2010,61,MN12,Upper West Side,"132,378",
Manhattan,2010,61,MN13,Chelsea,"70,150",
Manhattan,2010,61,MN14,Lincoln Square,"61,489",
Manhattan,2010,61,MN15,Clinton,"45,884",
Manhattan,2010,61,MN17,Midtown,"28,630",
Manhattan,2010,61,MN19,Turtle Bay,"51,231",
Manhattan,2010,61,MN20,Murray Hill,"50,742",
Manhattan,2010,61,MN21,Gramercy,"27,988",
Manhattan,2010,61,MN22,East Village,"44,136",
Manhattan,2010,61,MN23,West Village,"66,880",
Manhattan,2010,61,MN24,Tribeca,"42,742",
Manhattan,2010,61,MN25,Battery Park City,"39,699",
Manhattan,2010,61,MN27,Chinatown,"47,844",
Manhattan,2010,61,MN28,Lower East Side,"72,957",
Manhattan,2010,61,MN31,Lenox Hill,"80,771",
Manhattan,2010,61,MN32,Yorkville,"77,942",
Manhattan,2010,61,MN33,East Harlem,"115,921",
Manhattan,2010,61,MN35,Washington Heights,"151,574",
Manhattan,2010,61,MN40,Upper East Side,"61,207",
Manhattan,2010,61,MN50,Stuyvesant Town,"21,049",
Manhattan,2010,61,MN99,Soho,"1,849",
